state,date,admissions
AS,9/15/2022,0
VI,9/15/2022,0
WY,9/15/2022,0
UT,9/13/2022,0
AS,9/12/2022,0
VI,9/12/2022,0
WY,9/12/2022,0
VI,9/10/2022,0
AS,9/9/2022,0
VI,9/9/2022,0
AK,9/8/2022,1
VI,9/8/2022,0
AS,9/7/2022,0
VI,9/7/2022,0
AS,9/6/2022,0
UT,9/5/2022,0
AS,9/4/2022,0
VI,9/4/2022,0
AS,9/3/2022,0
VI,9/2/2022,0
AS,9/1/2022,0
VI,9/1/2022,0
WY,9/1/2022,0
WY,8/31/2022,0
AS,8/30/2022,0
VI,8/30/2022,0
AK,8/29/2022,0
VI,8/28/2022,0
AS,8/27/2022,0
VI,8/27/2022,0
WY,8/27/2022,0
VI,8/25/2022,0
AS,8/24/2022,0
VI,8/24/2022,0
AS,8/23/2022,0
UT,8/23/2022,0
VI,8/22/2022,0
WY,8/22/2022,0
VI,8/20/2022,0
AS,8/19/2022,0
VI,8/19/2022,0
AS,8/18/2022,0
VI,8/17/2022,0
AS,8/16/2022,0
VI,8/16/2022,0
AS,8/15/2022,0
WY,8/15/2022,0
AS,8/14/2022,0
VI,8/14/2022,0
AS,8/13/2022,0
VI,8/12/2022,0
AS,8/11/2022,0
VI,8/11/2022,0
AS,8/10/2022,0
VI,8/9/2022,0
AS,8/8/2022,0
VI,8/8/2022,0
AS,8/7/2022,0
VI,8/7/2022,0
AS,8/6/2022,0
VI,8/6/2022,0
AS,8/5/2022,0
VI,8/4/2022,0
AS,8/3/2022,0
VI,8/3/2022,0
AS,8/2/2022,0
WY,8/1/2022,0
AS,7/31/2022,0
VI,7/31/2022,0
AS,7/30/2022,0
VI,7/30/2022,0
VI,7/29/2022,0
AS,7/28/2022,0
VI,7/27/2022,0
VI,7/26/2022,0
AS,7/25/2022,0
VI,7/24/2022,0
AS,7/23/2022,0
VI,7/23/2022,0
AS,7/22/2022,0
VI,7/22/2022,0
AS,7/21/2022,0
VI,7/21/2022,0
AS,7/20/2022,0
VI,7/19/2022,0
AS,7/18/2022,0
VI,7/18/2022,0
AS,7/17/2022,0
VI,7/16/2022,0
VI,7/15/2022,0
VI,7/14/2022,0
VI,7/13/2022,0
AS,7/12/2022,0
WY,7/11/2022,1
AS,7/10/2022,0
VI,7/10/2022,0
AS,7/9/2022,0
VI,7/8/2022,0
AS,7/7/2022,0
VI,7/7/2022,0
AS,7/6/2022,0
VI,7/6/2022,0
AS,7/5/2022,0
VI,7/5/2022,0
AS,7/4/2022,0
VI,7/3/2022,0
VI,7/2/2022,0
AS,7/1/2022,0
VI,6/30/2022,0
AS,6/29/2022,0
VI,6/29/2022,0
AS,6/28/2022,0
VI,6/28/2022,0
AS,6/27/2022,0
VI,6/27/2022,0
AS,6/26/2022,0
AK,6/24/2022,0
AS,6/24/2022,0
VI,6/24/2022,0
AS,6/23/2022,0
VI,6/22/2022,0
AS,6/21/2022,0
VT,6/21/2022,0
AS,6/20/2022,0
UT,6/20/2022,0
AS,6/19/2022,0
VI,6/19/2022,0
AS,6/18/2022,0
VI,6/17/2022,0
AS,6/16/2022,0
VI,6/16/2022,0
AS,6/15/2022,0
VI,6/14/2022,0
AS,6/13/2022,0
VI,6/13/2022,0
AS,6/12/2022,0
VI,6/12/2022,0
VI,6/11/2022,0
AS,6/10/2022,0
VI,6/9/2022,0
AS,6/8/2022,0
VI,6/8/2022,0
AS,6/7/2022,0
VI,6/6/2022,0
AS,6/5/2022,0
VT,6/5/2022,0
AS,6/4/2022,0
VI,6/4/2022,0
AS,6/3/2022,0
VI,6/3/2022,0
AS,6/2/2022,0
VI,6/1/2022,0
AS,5/31/2022,0
VI,5/31/2022,0
AK,5/30/2022,0
VI,5/29/2022,0
AS,5/28/2022,0
VI,5/28/2022,0
AS,5/27/2022,0
VI,5/27/2022,0
VI,5/26/2022,0
AS,5/25/2022,0
VI,4/27/2024,0
RI,4/26/2024,1
VI,4/26/2024,0
RI,4/25/2024,0
VI,4/25/2024,0
RI,4/24/2024,1
SD,4/23/2024,1
VI,4/23/2024,0
PR,4/22/2024,9
VI,4/22/2024,0
SD,4/21/2024,2
VI,4/21/2024,0
RI,4/20/2024,1
VI,4/20/2024,0
RI,4/19/2024,0
SD,4/18/2024,3
SD,4/17/2024,2
RI,4/16/2024,1
SC,4/15/2024,6
NV,4/14/2024,1
SD,4/12/2024,0
KS,4/9/2024,4
RI,4/9/2024,2
SD,4/8/2024,3
RI,4/7/2024,6
NV,4/6/2024,6
RI,4/5/2024,1
PR,4/4/2024,3
RI,4/3/2024,5
SC,4/2/2024,12
RI,4/1/2024,1
RI,3/31/2024,4
SD,3/30/2024,4
SD,3/29/2024,2
SD,3/28/2024,5
SD,3/26/2024,9
SD,3/25/2024,4
SD,3/24/2024,6
SD,3/23/2024,4
SD,3/22/2024,8
SD,3/21/2024,12
RI,3/19/2024,2
RI,3/18/2024,2
SD,3/11/2024,6
SD,3/10/2024,7
ND,3/8/2024,1
SD,3/8/2024,8
MA,3/7/2024,47
MN,3/6/2024,16
MA,3/5/2024,63
NM,2/29/2024,7
NM,2/27/2024,5
RI,2/27/2024,2
MS,2/26/2024,9
IA,2/25/2024,21
MN,2/25/2024,16
MA,2/24/2024,75
MN,2/24/2024,19
SD,2/24/2024,7
ND,2/23/2024,3
VI,2/23/2024,0
AS,2/21/2024,0
MA,2/21/2024,61
NE,2/18/2024,11
IA,2/17/2024,15
DC,2/16/2024,3
IA,2/16/2024,15
NM,2/16/2024,8
NM,2/15/2024,11
NM,2/14/2024,20
NH,2/13/2024,10
NH,2/12/2024,2
SD,2/11/2024,3
AS,2/10/2024,0
NM,2/10/2024,10
MA,2/9/2024,72
DC,2/8/2024,6
MA,2/8/2024,46
RI,2/8/2024,6
MI,2/7/2024,92
AS,2/6/2024,0
MN,2/6/2024,29
NM,2/6/2024,14
MA,2/5/2024,47
MA,2/4/2024,54
RI,2/2/2024,4
NM,2/1/2024,6
MA,1/31/2024,65
MA,1/30/2024,70
IA,1/29/2024,16
ND,1/29/2024,7
NM,1/29/2024,16
RI,1/28/2024,0
MN,1/27/2024,19
AS,1/26/2024,0
MN,1/26/2024,24
NM,1/26/2024,22
MA,1/25/2024,44
MA,1/24/2024,53
VI,1/24/2024,0
NE,1/23/2024,7
VI,1/23/2024,0
NH,1/22/2024,3
NE,1/21/2024,9
MA,1/20/2024,53
DC,1/19/2024,3
MA,1/19/2024,51
NM,1/19/2024,13
NM,1/18/2024,19
MN,1/17/2024,23
MA,1/16/2024,52
ND,1/16/2024,5
MA,1/15/2024,58
MA,1/14/2024,80
NM,1/14/2024,11
NM,1/13/2024,17
RI,1/13/2024,2
MT,1/12/2024,15
NM,1/12/2024,22
MA,1/11/2024,72
NE,1/11/2024,9
AS,1/10/2024,0
MA,1/10/2024,81
NM,1/10/2024,24
NM,1/9/2024,21
VI,1/9/2024,0
MI,1/8/2024,42
NM,1/8/2024,23
MN,1/7/2024,18
MT,1/7/2024,12
MA,1/6/2024,71
AR,1/5/2024,41
MA,1/5/2024,84
NM,1/5/2024,32
VI,1/5/2024,0
MN,1/4/2024,24
NM,1/4/2024,48
MA,1/3/2024,83
NH,1/3/2024,9
MA,1/2/2024,77
DC,1/1/2024,7
MA,1/1/2024,70
NM,1/1/2024,30
VI,1/1/2024,0
MA,12/31/2023,104
AS,12/29/2023,0
VI,12/28/2023,0
MN,12/27/2023,21
MA,12/26/2023,50
AS,12/23/2023,0
NM,12/23/2023,34
MN,12/22/2023,15
NM,12/22/2023,49
VI,12/22/2023,0
AS,12/20/2023,0
SD,12/19/2023,6
MA,12/18/2023,41
AS,12/17/2023,0
MA,12/14/2023,25
SD,12/14/2023,4
MA,12/13/2023,26
MN,12/12/2023,13
MN,12/11/2023,6
MS,12/10/2023,8
NH,12/10/2023,2
MA,12/9/2023,14
NH,12/8/2023,1
NM,12/7/2023,16
NM,12/6/2023,19
MA,12/4/2023,18
MA,12/2/2023,8
RI,11/29/2023,2
MA,11/28/2023,8
AS,11/27/2023,0
MA,11/27/2023,13
NM,11/27/2023,3
MA,11/24/2023,7
MN,11/23/2023,2
MA,11/21/2023,10
MN,11/20/2023,3
MI,11/17/2023,9
MA,11/16/2023,6
NM,11/16/2023,1
MA,11/14/2023,5
MS,11/14/2023,7
MN,11/11/2023,4
NM,11/11/2023,3
MA,11/10/2023,4
NV,11/10/2023,3
MA,11/9/2023,5
DE,11/8/2023,0
NM,11/6/2023,0
NH,11/5/2023,1
AS,11/3/2023,0
MN,11/3/2023,4
MA,11/1/2023,2
MA,10/31/2023,3
ND,10/31/2023,0
NM,10/28/2023,0
NH,10/27/2023,0
MN,10/25/2023,0
ND,10/25/2023,0
MA,10/24/2023,6
MA,10/23/2023,3
NM,10/23/2023,0
MA,10/22/2023,0
NM,10/18/2023,0
AS,10/17/2023,0
KS,10/17/2023,1
MS,10/17/2023,6
MA,10/16/2023,4
RI,10/16/2023,0
MA,10/15/2023,4
MA,10/14/2023,1
NM,10/10/2023,2
AS,10/9/2023,0
MN,10/9/2023,2
NV,10/9/2023,1
KS,10/8/2023,1
MA,10/7/2023,3
MT,10/7/2023,0
MN,10/4/2023,0
AS,10/3/2023,0
MN,10/3/2023,0
NV,10/3/2023,0
MA,10/2/2023,0
ND,10/1/2023,0
VI,10/1/2023,0
RI,9/30/2023,0
ND,9/28/2023,1
VI,9/27/2023,0
MN,9/26/2023,0
NM,9/26/2023,1
NM,9/25/2023,0
AS,9/24/2023,0
NH,9/24/2023,1
UT,9/22/2023,0
KY,9/18/2023,1
MN,9/16/2023,0
NM,9/16/2023,0
MN,9/15/2023,0
AS,9/14/2023,0
MA,9/14/2023,0
AS,9/13/2023,0
MA,9/13/2023,1
ME,9/13/2023,0
NM,9/11/2023,2
NH,9/10/2023,0
AS,9/8/2023,0
MN,9/8/2023,0
NM,9/8/2023,1
DE,9/6/2023,0
WA,9/6/2023,2
MN,9/5/2023,0
NM,9/5/2023,0
AS,9/4/2023,0
MA,9/4/2023,1
MA,9/3/2023,0
MA,9/2/2023,3
MA,9/1/2023,2
MA,8/31/2023,4
MA,8/29/2023,1
